COUNTY,Total,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Alameda,32410,0,0,0,11300,1200,0,0,0,0,0,9910,10000
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador,307070,0,0,0,6000,700,0,200000,0,0,70,20000,80300
Butte,0,0,0,0,0,0,0,0,0,0,0,0,0
Calaveras,405009,0,0,1270,1400,286300,0,1077,0,0,20,24786,90156
Colusa,0,0,0,0,0,0,0,0,0,0,0,0,0
Contra Costa,11450,0,0,0,250,1700,0,0,0,0,0,9500,0
Del Norte,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado,231015,850,0,2550,50170,80000,0,32250,0,0,0,60200,4995
Fresno,812917,758025,0,2020,3656,0,0,1,0,0,25000,17200,7015
Glenn,0,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt,1595068,347901,0,0,270617,705000,0,61000,0,0,0,210550,0
Imperial,0,0,0,0,0,0,0,0,0,0,0,0,0
Inyo,350,0,0,0,0,0,0,0,0,0,0,350,0
Kings,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,105579028,105260000,0,0,3300,150000,0,142728,0,0,0,23000,0
Lassen,715300,0,0,0,0,0,0,110100,0,0,0,400000,205200
Madera,299925,10600,0,268350,1525,15000,0,100,0,0,0,1450,2900
Mariposa,48410,0,0,310,0,1000,0,1000,0,0,0,44100,2000
Mendocino,693434,0,0,500,153502,101002,0,5620,0,0,0,152788,280022
Merced,177500,0,0,1000,150000,10000,0,0,0,0,0,1900,14600
Modoc,150004,0,0,0,0,0,1,1,0,2,0,150000,0
Mono,0,0,0,0,0,0,0,0,0,0,0,0,0
Monterey,11222283,1000,10345582,776200,101,800,0,3200,0,0,0,84400,11000
Napa,300120,0,0,0,120,0,0,0,0,0,0,100000,200000
Nevada,1080921,16,0,300,2002,70,0,1049627,100,0,0,28306,500
Placer,242200,0,0,16200,2250,207000,0,200,350,0,100,16100,0
Plumas,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverside,3620,0,0,0,0,600,0,1020,0,0,0,2000,0
Sacramento,21201,0,0,0,0,1200,0,0,0,0,0,1,20000
San Benito,29602,0,0,1000,8000,100,0,20500,0,0,0,0,2
San Bernardino,629245,0,0,200,20000,0,0,604045,0,0,0,5000,0
San Diego,4286760,0,0,0,0,15210,0,23700,0,0,0,3833850,414000
San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0
San Joaquin,1936,0,0,0,0,900,0,0,0,0,0,1036,0
San Luis Obispo,12215711,700,0,0,23460,21300,0,0,0,0,200,7300,12162751
San Mateo,20200,0,15000,0,0,0,0,200,0,0,0,0,5000
Santa Clara,275222,0,0,3500,50000,500,0,200,0,0,0,220002,1020
Santa Cruz,8603,0,2,100,1000,300,0,0,0,0,0,201,7000
Shasta,215711,52000,0,12211,0,100500,0,40000,0,0,0,700,10300
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,295712,200,0,500,286411,501,0,1500,500,1300,0,4800,0
Solano,3103,0,0,0,100,1002,0,0,0,0,0,2001,0
Sonoma,665106,0,0,0,1000,502,0,116002,0,0,0,503902,43700
Stanislaus,8550,0,1600,0,4500,100,0,0,0,0,0,2250,100
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehama,434250,0,0,200,371000,7850,0,200,0,0,0,34000,21000
Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulare,8664,0,2,0,4000,1750,500,0,0,0,0,2,2410
Tuolumne,40363,0,0,601,4102,4100,0,0,20750,0,0,6260,4550
Yolo,5001900,0,0,1600,100,200,0,0,0,0,0,5000000,0
Yuba,197020,0,0,4,0,0,0,0,0,0,171000,26016,0
