COUNTY,Total,Arson,Campfire,"Debris Burning
",Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Alameda,39,0,0,0,8,4,0,4,0,0,0,16,7
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador,57,2,0,17,6,7,1,7,0,0,3,5,9
Butte,0,0,0,0,0,0,0,0,0,0,0,0,0
Calaveras,94,1,3,22,9,14,0,12,2,0,1,21,9
Colusa,4,1,1,0,0,0,0,0,0,0,0,0,2
Contra Costa,28,0,0,0,4,6,0,1,0,0,0,15,2
Del Norte,28,7,2,1,0,1,1,0,1,0,0,14,1
El Dorado,169,27,4,34,15,20,0,11,0,0,1,41,16
Fresno,106,27,1,14,18,5,4,10,0,0,1,20,6
Glenn,6,1,0,0,0,1,0,0,0,0,0,1,3
Humboldt,105,12,6,11,10,4,0,20,2,0,0,31,9
Imperial,0,0,0,0,0,0,0,0,0,0,0,0,0
Inyo,15,0,2,1,0,1,0,1,1,0,0,9,0
Kings,2,0,0,0,0,0,0,0,0,0,1,1,0
Lake,74,16,1,5,13,6,0,6,0,0,2,20,5
Lassen,31,2,2,8,0,1,4,3,0,0,0,6,5
Madera,81,5,0,11,4,11,1,27,0,0,1,6,15
Mariposa,60,2,0,15,3,7,0,5,1,0,0,13,14
Mendocino,118,7,5,24,14,9,0,15,1,1,0,29,13
Merced,35,0,1,3,2,1,0,2,0,0,0,20,6
Modoc,8,0,0,0,0,1,1,2,0,1,0,2,1
Mono,0,0,0,0,0,0,0,0,0,0,0,0,0
Monterey,58,5,2,3,12,3,0,6,1,0,1,14,11
Napa,46,4,1,2,8,2,0,6,1,0,0,17,5
Nevada,125,7,10,26,10,11,1,16,2,0,0,35,7
Placer,133,5,10,31,9,16,2,13,2,0,4,33,8
Plumas,4,0,0,1,0,1,1,0,0,0,0,1,0
Riverside,133,13,7,6,5,5,2,22,5,0,1,63,4
Sacramento,21,2,0,0,3,4,0,1,1,0,0,7,3
San Benito,23,1,0,1,3,5,0,6,0,0,0,2,5
San Bernardino,97,4,15,10,6,2,3,21,0,1,0,30,5
San Diego,131,10,7,14,16,8,5,17,2,0,3,36,13
San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0
San Joaquin,13,0,0,0,1,1,0,0,0,1,0,7,3
San Luis Obispo,146,8,7,13,17,20,0,22,0,0,3,37,19
San Mateo,23,0,2,1,3,1,0,7,0,0,2,5,2
Santa Clara,37,0,1,2,1,4,0,5,0,0,2,17,5
Santa Cruz,32,2,3,1,8,2,0,3,0,0,0,11,2
Shasta,114,13,5,24,7,6,9,14,2,0,3,22,9
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,160,3,8,20,10,5,21,59,1,1,3,22,7
Solano,11,0,0,0,2,4,0,0,0,0,0,3,2
Sonoma,121,8,10,7,13,12,0,21,2,0,0,27,21
Stanislaus,18,0,1,0,2,1,1,1,0,0,0,10,2
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehama,59,2,1,5,9,13,2,5,0,0,0,19,3
Trinity,18,0,0,4,4,0,0,0,0,0,1,6,3
Tulare,71,28,1,6,5,3,1,4,1,0,1,14,7
Tuolumne,79,1,0,21,6,8,2,8,3,0,2,20,8
Yolo,22,0,0,6,4,4,0,0,0,0,0,6,2
Yuba,61,4,2,10,0,10,0,5,1,0,1,26,2
